t,primary_x,primary_y,primary_z,tracking_error,solve_time_ms,iterations,converged,tool_frame_x,tool_frame_y,tool_frame_z
9.760041458,0.1468748325757872,0.27554564572022117,2.3754019441101657,0.141344116,4.028995,11.0,1.0,0.1468748325757872,0.27554564572022117,2.3754019441101657
9.768041619,0.14706371133601362,0.2756446107968594,2.375372017451479,0.141678491,4.010885,11.0,1.0,0.14706371133601362,0.2756446107968594,2.375372017451479
9.776041751,0.1472941270436333,0.2757875662561508,2.3753345381627473,0.141398714,4.035412,11.0,1.0,0.1472941270436333,0.2757875662561508,2.3753345381627473
9.784041267,0.14749707229208237,0.2759442443039615,2.375300233554232,0.140898692,4.358766,12.0,1.0,0.14749707229208237,0.2759442443039615,2.375300233554232
9.792042958,0.14772422620742923,0.27606818319383825,2.3752636028532392,0.140963191,4.063953,11.0,1.0,0.14772422620742923,0.27606818319383825,2.3752636028532392
9.800045685,0.14795695946777968,0.27618025758166553,2.3752273409515174,0.141142466,4.017187,11.0,1.0,0.14795695946777968,0.27618025758166553,2.3752273409515174
9.808041322,0.14815709257456164,0.2763128476744548,2.375195029894072,0.140975763,4.053788,11.0,1.0,0.14815709257456164,0.2763128476744548,2.375195029894072
9.816041561,0.14832870172628124,0.2764591256358643,2.3751662252083228,0.140580549,4.025525,11.0,1.0,0.14832870172628124,0.2764591256358643,2.3751662252083228
9.824043448,0.1485419397667761,0.2765619159948127,2.3751328651800314,0.140937148,4.019415,11.0,1.0,0.1485419397667761,0.2765619159948127,2.3751328651800314
9.832042085,0.1486924349318251,0.27664436996064784,2.375109518873275,0.141482911,4.343805,12.0,1.0,0.1486924349318251,0.27664436996064784,2.375109518873275
9.840045972,0.1488723928745302,0.27676529430722263,2.3750810481981217,0.14146025,4.011466,11.0,1.0,0.1488723928745302,0.27676529430722263,2.3750810481981217
9.84805798,0.1490227832137679,0.2768998283202976,2.375056410995751,0.141199842,4.040731,11.0,1.0,0.1490227832137679,0.2768998283202976,2.375056410995751
9.856062464,0.14914026738963923,0.27704652454136885,2.375036083539366,0.140717429,4.044912,11.0,1.0,0.14914026738963923,0.27704652454136885,2.375036083539366
9.864043133,0.14928071664138123,0.2771617582753178,2.3750129872439065,0.140805825,4.232488,11.0,1.0,0.14928071664138123,0.2771617582753178,2.3750129872439065
9.872042769,0.14942423106126096,0.2772706569187248,2.3749904029608184,0.140924641,4.212676,11.0,1.0,0.14942423106126096,0.2772706569187248,2.3749904029608184
9.880043278,0.14954107218702078,0.2773928553748998,2.374971514661789,0.140795443,4.216479,11.0,1.0,0.14954107218702078,0.2773928553748998,2.374971514661789
9.888043061,0.14962581044472864,0.2775271341593838,2.374957028075449,0.140436067,4.19905,11.0,1.0,0.14962581044472864,0.2775271341593838,2.374957028075449
9.896034136,0.1496635813794898,0.27763621354586826,2.3749497281617185,0.140426806,4.206094,11.0,1.0,0.1496635813794898,0.27763621354586826,2.3749497281617185
9.904044987,0.14974425742958503,0.27774753989170153,2.374935869052419,0.140497631,4.227792,11.0,1.0,0.14974425742958503,0.27774753989170153,2.374935869052419
9.912045249,0.14983891244077013,0.2778475507739432,2.3749209498847943,0.140690129,4.127007,11.0,1.0,0.14983891244077013,0.2778475507739432,2.3749209498847943
9.920044639,0.14990876953747667,0.27796027587360067,2.3749096872316797,0.140631201,4.070933,11.0,1.0,0.14990876953747667,0.27796027587360067,2.3749096872316797
9.928043213,0.149946476057984,0.27808444322218223,2.374903041153549,0.140339082,4.211128,11.0,1.0,0.149946476057984,0.27808444322218223,2.374903041153549
9.936043137,0.1499372200955464,0.27822310749780604,2.374903079272503,0.13974281,4.19199,11.0,1.0,0.1499372200955464,0.27822310749780604,2.374903079272503
9.94404376,0.14998034351315115,0.27831577697300086,2.37489562402465,0.140043648,4.172338,11.0,1.0,0.14998034351315115,0.27831577697300086,2.37489562402465
9.952043807,0.15001735232688154,0.27841297151420824,2.3748898575583928,0.140174868,4.105307,11.0,1.0,0.15001735232688154,0.27841297151420824,2.3748898575583928
9.960019779,0.1500261136808558,0.27849476760003145,2.3748884791395968,0.140513983,4.167875,11.0,1.0,0.1500261136808558,0.27849476760003145,2.3748884791395968
9.968046878,0.15001056732711485,0.2786111439726144,2.374890646336519,0.140236007,4.097155,11.0,1.0,0.15001056732711485,0.2786111439726144,2.374890646336519
9.976042863,0.14995382221824663,0.2787362509612681,2.3748988423548107,0.139739176,4.021141,11.0,1.0,0.14995382221824663,0.2787362509612681,2.3748988423548107
9.98406037,0.14992046596757916,0.2788316726156045,2.3749032100061833,0.139855631,4.358482,12.0,1.0,0.14992046596757916,0.2788316726156045,2.3749032100061833
9.99204771,0.14989922621466298,0.27892055304616126,2.3749066892665245,0.140008446,4.039098,11.0,1.0,0.14989922621466298,0.27892055304616126,2.3749066892665245
10.000042721,0.14985301264237325,0.2790200253277338,2.3749142091736153,0.139920349,4.354919,12.0,1.0,0.14985301264237325,0.2790200253277338,2.3749142091736153
10.008042702,0.14977105994569637,0.27912852164581936,2.3749271933589347,0.139608609,4.037122,11.0,1.0,0.14977105994569637,0.27912852164581936,2.3749271933589347
10.016026387,0.14967842009680674,0.2792158947478956,2.3749416293665853,0.139647038,4.011335,11.0,1.0,0.14967842009680674,0.2792158947478956,2.3749416293665853
10.02404382,0.1495861162866597,0.27930251522349125,2.3749554779125557,0.139774157,4.416239,11.0,1.0,0.1495861162866597,0.27930251522349125,2.3749554779125557
10.032044852,0.14951770367436246,0.27937960436334774,2.3749664790001486,0.140025418,4.121937,11.0,1.0,0.14951770367436246,0.27937960436334774,2.3749664790001486
10.040062457,0.1494277508343956,0.2794668113603185,2.374981213137707,0.140035152,4.021021,11.0,1.0,0.1494277508343956,0.2794668113603185,2.374981213137707
10.048043539,0.14930334843936008,0.27956245778785893,2.3750013975068724,0.139808849,4.069839,11.0,1.0,0.14930334843936008,0.27956245778785893,2.3750013975068724
10.056042924,0.14912279557888777,0.2796682776795947,2.3750301928362823,0.139287696,4.031294,11.0,1.0,0.14912279557888777,0.2796682776795947,2.3750301928362823
10.064043184,0.14899832720476275,0.27973563877186663,2.3750493493634357,0.139651916,4.011487,11.0,1.0,0.14899832720476275,0.27973563877186663,2.3750493493634357
10.072043653,0.14887506320698518,0.27980686240157526,2.375069301896637,0.139851539,4.077179,11.0,1.0,0.14887506320698518,0.27980686240157526,2.375069301896637
10.080043362,0.14872645196073586,0.27988685756185866,2.375093635908493,0.139812671,4.033686,11.0,1.0,0.14872645196073586,0.27988685756185866,2.375093635908493
10.088044111,0.14858782347984698,0.27995239036392344,2.3751162731099056,0.140056413,4.355414,12.0,1.0,0.14858782347984698,0.27995239036392344,2.3751162731099056
10.09604458,0.14836238771017263,0.2800430274650026,2.375152574448963,0.139643494,4.086276,11.0,1.0,0.14836238771017263,0.2800430274650026,2.375152574448963
10.104043821,0.1480772208482142,0.280137176782018,2.3751977858592324,0.139038869,4.044158,11.0,1.0,0.1480772208482142,0.280137176782018,2.3751977858592324
10.11204374,0.14781266976205185,0.2802028576937717,2.37523823987058,0.139107431,4.013656,11.0,1.0,0.14781266976205185,0.2802028576937717,2.37523823987058
10.120043589,0.1475715032851104,0.28026169728343736,2.3752758115421684,0.139259317,4.356544,12.0,1.0,0.1475715032851104,0.28026169728343736,2.3752758115421684
10.128047569,0.1473078976375771,0.28032787941334314,2.3753174434235995,0.139184173,4.046454,11.0,1.0,0.1473078976375771,0.28032787941334314,2.3753174434235995
10.136043791,0.14700558998445598,0.28039934784339665,2.3753652931532994,0.138895493,4.077065,11.0,1.0,0.14700558998445598,0.28039934784339665,2.3753652931532994
10.144043906,0.14665058482128,0.28047409574626936,2.3754211670186884,0.138412008,4.037886,11.0,1.0,0.14665058482128,0.28047409574626936,2.3754211670186884
10.152043822,0.1464269164564137,0.28050703606566296,2.3754550613995145,0.13913147,4.036883,11.0,1.0,0.1464269164564137,0.28050703606566296,2.3754550613995145
10.160048263,0.14614982507634225,0.2805512516729412,2.375497938513342,0.139428066,4.041557,11.0,1.0,0.14614982507634225,0.2805512516729412,2.375497938513342
10.168043974,0.14585856467449707,0.28060286749728625,2.3755438705037553,0.139490769,4.004257,11.0,1.0,0.14585856467449707,0.28060286749728625,2.3755438705037553
10.176044605,0.14553390599067725,0.280659585566512,2.375595411470624,0.139338132,4.036379,11.0,1.0,0.14553390599067725,0.280659585566512,2.375595411470624
10.184044,0.14515924418984694,0.28071918750608443,2.3756546996234573,0.13898481,4.059845,11.0,1.0,0.14515924418984694,0.28071918750608443,2.3756546996234573
10.192047697,0.1447071089090036,0.28078187538761096,2.3757257119163504,0.138361634,4.116644,7.0,1.0,0.1447071089090036,0.28078187538761096,2.3757257119163504
10.200044406,0.1443186144779472,0.28081213443713204,2.3757841423929307,0.138689442,4.049656,11.0,1.0,0.1443186144779472,0.28081213443713204,2.3757841423929307
10.208044535,0.14394297672506695,0.2808451877766197,2.375841667928512,0.138878627,4.086105,11.0,1.0,0.14394297672506695,0.2808451877766197,2.375841667928512
10.216044778,0.14364628288101206,0.2808741919840478,2.375887742635122,0.139303678,4.02302,11.0,1.0,0.14364628288101206,0.2808741919840478,2.375887742635122
10.224047642,0.14322065060920197,0.28091477476873306,2.375953984312449,0.139122206,4.078824,11.0,1.0,0.14322065060920197,0.28091477476873306,2.375953984312449
10.232072064,0.14274116366885456,0.2809564872961024,2.3760284290586977,0.138752881,4.032026,11.0,1.0,0.14274116366885456,0.2809564872961024,2.3760284290586977
10.240044987,0.14228714320347507,0.28097890125403774,2.3760966784707382,0.138958001,4.043428,11.0,1.0,0.14228714320347507,0.28097890125403774,2.3760966784707382
10.248044693,0.14188075269511224,0.28099700311679754,2.3761579988660246,0.139309988,4.009946,11.0,1.0,0.14188075269511224,0.28099700311679754,2.3761579988660246
10.25605809,0.14145188053167765,0.2810222031690507,2.376224093475489,0.139361152,4.016457,11.0,1.0,0.14145188053167765,0.2810222031690507,2.376224093475489
