scenario,method,sample_id,seed,dof,horizon,max_iterations,perturbation,level,solver_failed,solver_converged,solve_ms,solver_final_iter,solver_final_cost,solver_final_stop,planning_terminal_rmse,mpc_steps,mpc_failed_steps,mpc_converged_steps,mean_mpc_solve_ms,max_mpc_solve_ms,rollout_finite,rollout_terminal_error_norm,rollout_terminal_rmse,rollout_trajectory_rmse,max_abs_q,max_abs_dq,rms_tau,max_tau_ratio,success,failure_message
"ur10","TetraPGA",3,20260624,6,50,25,"external_force",5,0,1,1.84760404,4,0.894422638,0.000000001,0.000182112,50,0,50,1.84760404,2.269613,1,0.29190196,0.119168476,0.129311283,0.397609503,5.576480401,50.522062186,0.362093476,0,""
"ur10","TetraPGA",3,20260624,6,50,25,"external_force",10,0,1,1.84720314,4,0.894422638,0.000000001,0.000182112,50,0,50,1.84720314,2.262993,1,0.615751254,0.251379397,0.216926605,0.830995425,10.985414144,50.522969386,0.362108734,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"nominal",0,0,1,2.06339542,4,0.977529084,0.000000003,0.000245935,50,0,50,2.06339542,2.264997,1,0.124874844,0.050979942,0.126644542,0.238985014,0.32276416,50.918365205,0.374766546,1,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",-0.3,0,1,1.7545727,4,0.977529084,0.000000003,0.000245935,50,0,50,1.7545727,2.263983,1,0.50704412,0.206999895,0.145391007,0.296362847,0.712712198,36.422820365,0.374766546,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",-0.2,0,1,1.75518684,4,0.977529084,0.000000003,0.000245935,50,0,50,1.75518684,2.269209,1,0.294642809,0.120287423,0.118530373,0.236794463,0.561845175,41.416913783,0.374766546,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",-0.1,0,1,1.77094524,4,0.977529084,0.000000003,0.000245935,50,0,50,1.77094524,2.26032,1,0.129680294,0.052941758,0.111976152,0.238011436,0.435280428,46.269884969,0.374766546,1,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",0.1,0,1,2.53825318,4,0.977529084,0.000000003,0.000245935,50,0,50,2.53825318,4.492785,1,0.3193542,0.130375806,0.160689075,0.239781578,0.321363594,55.323751646,0.391989352,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",0.2,0,1,2.40441732,4,0.977529084,0.000000003,0.000245935,50,0,50,2.40441732,3.661419,1,0.581366192,0.237341754,0.210968526,0.339295507,0.321213982,59.467634738,0.426222927,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",0.3,0,1,2.02561192,4,0.977529084,0.000000003,0.000245935,50,0,50,2.02561192,2.298387,1,0.895616762,0.365634012,0.274159107,0.542697854,0.50287015,63.344603069,0.458533437,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"com_offset",0.01,0,1,1.76804184,4,0.977529084,0.000000003,0.000245935,50,0,50,1.76804184,2.256952,1,1.197297249,0.488794555,0.445078294,1.146007403,5.445704545,50.91652303,0.374766546,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"com_offset",0.02,0,1,1.7704431,4,0.977529084,0.000000003,0.000245935,50,0,50,1.7704431,2.261287,1,1.284121273,0.524240314,0.495210503,1.367059097,8.789518875,50.919233367,0.374766546,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"com_offset",0.05,0,1,1.76735792,4,0.977529084,0.000000003,0.000245935,50,0,50,1.76735792,2.25336,1,1.369327275,0.559025519,0.538215099,1.664426427,12.63917917,50.930338316,0.374766546,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"external_force",5,0,1,2.04073076,4,0.977529084,0.000000003,0.000245935,50,0,50,2.04073076,2.259431,1,0.12563637,0.051290833,0.126696793,0.243325147,0.411834337,50.918406538,0.374766546,1,""
"ur10","TetraPGA",4,20260624,6,50,25,"external_force",10,0,1,2.03261158,4,0.977529084,0.000000003,0.000245935,50,0,50,2.03261158,2.277526,1,0.130036,0.053086975,0.12714079,0.268132074,0.756407292,50.918479235,0.374766546,1,""
