scenario,method,sample_id,seed,dof,horizon,max_iterations,perturbation,level,solver_failed,solver_converged,solve_ms,solver_final_iter,solver_final_cost,solver_final_stop,planning_terminal_rmse,mpc_steps,mpc_failed_steps,mpc_converged_steps,mean_mpc_solve_ms,max_mpc_solve_ms,rollout_finite,rollout_terminal_error_norm,rollout_terminal_rmse,rollout_trajectory_rmse,max_abs_q,max_abs_dq,rms_tau,max_tau_ratio,success,failure_message
"ur10","TetraPGA",1,20260624,6,50,25,"mass_inertia_scale",-0.3,0,1,2.1948044,4,0.996571375,0.000000008,0.000275697,50,0,50,2.1948044,2.262527,1,0.52693723,0.215121223,0.194404567,0.3302535,0.804043146,36.975499575,0.44687878,0,""
"ur10","TetraPGA",1,20260624,6,50,25,"mass_inertia_scale",-0.2,0,1,2.25437426,4,0.996571375,0.000000008,0.000275697,50,0,50,2.25437426,2.296865,1,0.351346163,0.143436471,0.16659162,0.232314802,0.604432674,41.962233814,0.44687878,0,""
"ur10","TetraPGA",1,20260624,6,50,25,"mass_inertia_scale",-0.1,0,1,2.25168546,4,0.996571375,0.000000008,0.000275697,50,0,50,2.25168546,2.263239,1,0.219949307,0.089793928,0.146142159,0.233426681,0.413008019,46.818685793,0.44687878,1,""
"ur10","TetraPGA",1,20260624,6,50,25,"mass_inertia_scale",0.1,0,1,1.8430517,4,0.996571375,0.000000008,0.000275697,50,0,50,1.8430517,2.260316,1,0.235347108,0.096080055,0.140772096,0.24973561,0.446505948,55.90459947,0.44687878,1,""
"ur10","TetraPGA",1,20260624,6,50,25,"mass_inertia_scale",0.2,0,1,1.82680138,4,0.996571375,0.000000008,0.000275697,50,0,50,1.82680138,2.257085,1,0.475921026,0.194293945,0.171748662,0.406713153,0.619082953,60.070105345,0.44687878,0,""
"ur10","TetraPGA",1,20260624,6,50,25,"mass_inertia_scale",0.3,0,1,1.8179131,4,0.996571375,0.000000008,0.000275697,50,0,50,1.8179131,2.261932,1,0.780187854,0.318510358,0.225169414,0.612609684,0.87056983,63.967931149,0.451934329,0,""
"ur10","TetraPGA",1,20260624,6,50,25,"com_offset",0.01,0,1,1.95452148,4,0.996571375,0.000000008,0.000275697,50,0,50,1.95452148,2.268971,1,0.342655606,0.139888565,0.163899096,0.445115063,0.463844005,51.485054874,0.44687878,0,""
"ur10","TetraPGA",1,20260624,6,50,25,"com_offset",0.02,0,1,1.80754366,4,0.996571375,0.000000008,0.000275697,50,0,50,1.80754366,2.25931,1,0.666142578,0.271951569,0.229089536,0.777150496,0.956045044,51.487086399,0.44687878,0,""
"ur10","TetraPGA",1,20260624,6,50,25,"com_offset",0.05,0,1,1.77865444,4,0.996571375,0.000000008,0.000275697,50,0,50,1.77865444,2.261536,1,1.416889022,0.578442521,0.44377008,1.424072404,2.452782186,51.479651079,0.44687878,0,""
"ur10","TetraPGA",1,20260624,6,50,25,"external_force",5,0,1,2.19794496,4,0.996571375,0.000000008,0.000275697,50,0,50,2.19794496,2.318305,1,0.145424347,0.059369241,0.135681975,0.234316185,0.801059176,51.480525636,0.44687878,1,""
"ur10","TetraPGA",1,20260624,6,50,25,"external_force",10,0,1,2.176179,4,0.996571375,0.000000008,0.000275697,50,0,50,2.176179,2.278196,1,0.173749924,0.070933109,0.139107088,0.270929423,1.618515592,51.480577975,0.44687878,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"nominal",0,0,1,1.9168113,4,1.018782449,0.000000045,0.000299848,50,0,50,1.9168113,2.26749,1,0.167761635,0.068488401,0.158134755,0.290360129,0.412627319,47.482374701,0.343308508,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",-0.3,0,1,1.7976278,4,1.018782449,0.000000045,0.000299848,50,0,50,1.7976278,2.261091,1,0.486659067,0.198677732,0.185424032,0.550455053,0.768490295,34.702384627,0.298845389,0,""
