robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,15.908439429,0.363125746,0.29883852,0.155947549,28.723892,36.122037,3.5904865,1,0,0,1.727057017,0.045826628,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.13969396825838337 -1.3448317558303875 0.1414393504081006 -1.5141709415752915 0.056108273517836718 -0.0050154914004464715,0.0012878349780324875 0.057381747818685561 0.023527042574998221 -0.0087583057525369729 -0.015250348678355266 -0.009823690463458757,-0.10637940432465186 -1.4595675585441181 0.28495703051658533 -1.2982635829694977 0.13775325054991275 0.20404652941768747,0.20177879314389963 0.19062139409113824 0.10535958909276993 -0.052944661722307385 -0.14851128804088085 0.06051517422137536,-0.13780259243042131 -1.3489690130619447 0.14723092697341619 -1.5056567925039377 0.058091078504407236 0.0049333320169993511,0.16397739223466445 -0.17269448088928407 0.47758355214777992 0.5628566358997108 0.099084026912501649 0.64701817908330161,19.454779868217599 -61.864019119673245 -27.207865197160515 -3.2529401409896406 3.4325204777074063 0.0017946392392818385,-1.7995924839889312 -44.287002919663792 -23.39213241614118 -2.4993164368734142 3.8244772624796468 0.030462046471283699
ur,tetrapga,15.944630293,0.361798075,0.296260142,0.169700604,28.652615,36.447092,3.581576875,1,0,0,1.715884301,0.06578305,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.13959771295858589 -1.3429353526134629 0.14282458651349456 -1.5138238857321773 0.055737562770092119 -0.00468646626142003,0.0022433190473656224 0.057984189762201925 0.045914677432825235 0.013491967729475376 -0.010513590901912704 0.012458709624128041,-0.09902990189785954 -1.4526977919113828 0.28867276953115972 -1.3002774443649789 0.13233685008543092 0.20617623945569455,0.20435206527766725 0.18899689092539237 0.099968894007640183 -0.058337360401202298 -0.15078903771189839 0.057172098731096334,-0.13616053021983077 -1.3503537585445557 0.15112572483389353 -1.5011668691712572 0.058864724969091189 0.010090873215149829,0.20525777632381662 -0.17309318532637449 0.48684973255966524 0.56124041658505575 0.096705808085493838 0.6446926497688098,12.890924620095708 -60.259894526099799 -30.09711622490175 -3.684784013627969 3.8599006365136455 0.00025489350434257222,-1.0430518771704556 -48.245272516774094 -25.455090535051227 -2.888324323775123 4.1098919913793139 -0.03834823518260233
ur,tetrapga,15.981149917,0.359189873,0.303411886,0.186053766,34.026751,41.574137,4.253343875,1,0,0,1.703505511,0.038946461,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.13945815638488271 -1.3410196970618529 0.14503443446181719 -1.512651190254513 0.055545960358855874 -0.0035375249800577917,0.003748805354081724 0.053243621897437844 0.064227914238660311 0.034479791968349945 -0.0049456009620944801 0.033452937395663518,-0.091521627488050386 -1.4458277158913808 0.2922231132231643 -1.3025063945653548 0.12679033980739038 0.20820200719267171,0.20681692672099045 0.18722048634458033 0.094453672020721149 -0.063721189238460776 -0.15294141302761036 0.053763547988888154,-0.13641438377262635 -1.3468483590604376 0.15168405625786852 -1.5026078303846697 0.057824169423092722 0.0084533580634447349,0.1743699412162959 -0.14520390715417758 0.45049707625164498 0.53764991602694812 0.077353344889898965 0.64708549323733933,22.960941934770894 -65.946026940266322 -19.387725662747645 -1.3592982394437714 1.840384490007493 0.027143843297182554,-0.23263035495745044 -52.973580425326873 -27.908064973292369 -3.3200763554204968 4.4558007637693464 -0.10320646310953502
ur,tetrapga,16.022833091,0.354336678,0.318613061,0.210317555,34.163838,41.599391,4.27047975,1,0,0,1.701213711,0.019694608,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.13906046824431456 -1.339381323396245 0.14837006184002205 -1.5102141320903422 0.055573140736981518 -0.00096754849370154843,0.010375263764287764 0.038238652217893493 0.079115860486628248 0.056773798478963161 0.0001235729916176662 0.059915299792948878,-0.082845017693483 -1.4380688909277199 0.2960275420681252 -1.3052892594686227 0.1203671632430995 0.21036126698799526,0.20946600345204014 0.18502614461131855 0.088071657077394269 -0.069789209179942469 -0.15521650331608949 0.049833043954049312,-0.13631241769880037 -1.3442081785737168 0.15357071721149645 -1.5022712563856933 0.057139621045770049 0.0089122051291877259,0.17812603870875757 -0.13666716817192759 0.44295727031889665 0.51746560647659567 0.055120745716616522 0.64616254303951637,27.559710049156926 -65.170777496390258 -18.709880906223837 -1.3647493493995766 1.7859251204705417 0.025903434526788349,0.94330119296398607 -60.071493944983558 -31.547633223145112 -3.9104663926063949 4.990788673089952 -0.18497147184320717
ur,tetrapga,16.064515277,0.348000966,0.334374294,0.22088999,34.13706,41.559233,4.2671325,1,0,0,1.681504576,0.02394154,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.13827838747375823 -1.3384568211721954 0.15221100407275992 -1.5069408567330693 0.055809372601896445 0.0026051100520224704,0.018331956080644758 0.021066314889170358 0.083937258097712103 0.069735857698366405 0.004340858255662508 0.07600763184269102,-0.074061891653481385 -1.4304053856640462 0.29956404725795732 -1.3083231581551349 0.11385338484427042 0.2123558164019079,0.21193722308801261 0.18265602144865634 0.081603595447569108 -0.075768347739252548 -0.15729560136782672 0.045863457119410887,-0.13575201039672474 -1.3424030003831062 0.15635414932665562 -1.5006420747813158 0.056745735241042573 0.010888998213472355,0.19292402369431746 -0.1338125637687641 0.43291108556592817 0.49549772225820482 0.033904802151165911 0.6412925778584071,29.905523774311732 -62.483284477193621 -18.063982995943903 -1.3820766376021085 1.7521621067527244 0.024541251298968385,1.2610886906899168 -62.914830918348343 -33.133498543799078 -4.2008772161034358 5.2343925249931544 -0.23466450869215549
ur,tetrapga,16.106140336,0.344200252,0.31849833,0.202968057,34.193089,41.715562,4.274136125,1,0,0,1.666991597,0.021016414,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.13762947966532194 -1.3371871863429776 0.1548913475215189 -1.5050932035429483 0.055704453350781259 0.0046466596180560682,0.01150914342964574 0.031959503759278134 0.055263095950537397 0.03540052519108066 -0.0033046526390649576 0.038651682385623116,-0.065191748910281663 -1.4228545883077948 0.30282498482925152 -1.3115996484864814 0.10726616037623671 0.21418176047322302,0.21422502505258659 0.18011587129140819 0.075065266119166196 -0.081643957335972128 -0.15917412807727951 0.041863870450176331,-0.13504785553555526 -1.3408230811388839 0.15898763846068772 -1.4990766701835856 0.056335817643980143 0.012859450376313964,0.20536118693350791 -0.12849847198024411 0.42061125457505882 0.47387112231831785 0.013840418508527427 0.63645268256871912,32.425395883477336 -60.682579452851947 -16.605423901199384 -1.1934292430564239 1.5528142775596367 0.025752907016307981,0.23011599955623296 -57.593457291271079 -30.445208531732419 -3.6800361832165436 4.8813989977657286 -0.11930743643456054
ur,tetrapga,16.147938589,0.341618323,0.314905915,0.196446395,34.205584,41.963759,4.275698,1,0,0,1.663819208,0.008790026,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.13715261021787145 -1.3357116040070049 0.15704783290192989 -1.5038600075456086 0.055439708519809137 0.0060572298219346088,0.0087228174302714286 0.039268239858089748 0.049923248826118524 0.025980543644283156 -0.0069184550431188206 0.028988091526742494,-0.056192695205531523 -1.4153823634018479 0.30582409249545017 -1.3151337552685942 0.10057702891047829 0.21584709916055883,0.21633886449487108 0.17739330221726368 0.06842717887536609 -0.087441445128443873 -0.16085970779951378 0.037815716108411633,-0.13435582867401247 -1.3392315430879309 0.16131336268803106 -1.497839819795928 0.05583820979456286 0.014517067682726493,0.21805052533761354 -0.12052506437329293 0.41195337584028147 0.45356488358361913 -0.0061941609164730925 0.63234094795027573,34.9315207462327 -59.744816982628038 -16.088763537401306 -1.1622316367216667 1.490077395305395 0.025769695840073076,-0.22289054437590039 -55.53073305720136 -29.466959294870207 -3.5136490299091747 4.757083275986119 -0.089439732406262351
ur,tetrapga,16.189971811,0.339005525,0.315973945,0.197780946,34.140276,41.497271,4.2675345,1,0,0,1.666789036,0.006563957,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.13666987460210786 -1.3341306378748363 0.15937685298005705 -1.5025192415216249 0.055134585355103037 0.007622960112614526,0.0096775024748570054 0.042065834555730444 0.055096749338552492 0.02901915110453308 -0.0080147988531355137 0.0331617714069537,-0.047057882246480713 -1.4079864911988713 0.30855884276397078 -1.3189298100431235 0.093783531074279142 0.21735055372185688,0.21827686440876151 0.17448436787990973 0.061685651181586559 -0.093161208249917291 -0.16235018259260203 0.03371633283342447,-0.1336588933233126 -1.3375700431185784 0.16358561447709929 -1.4967116930430042 0.055276660022213514 0.01609505131074911,0.23174478934344717 -0.11111907964938252 0.40506333038190356 0.43347970197153451 -0.026217194077430228 0.628129676634825,37.292409635384004 -59.376099212989516 -16.246649706476731 -1.238876618537617 1.5221037227525418 0.025063408546509049,-0.30844122055714251 -55.738356890054092 -29.667141844902062 -3.5656305961219914 4.7959677834666365 -0.10230526119148919
ur,tetrapga,16.231569635,0.336384833,0.317106997,0.202808739,34.16153,41.993778,4.27019125,1,0,0,1.671895217,0.009099535,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.13613018687928513 -1.3324490812924104 0.16187620587524229 -1.501093639417536 0.054776097952561713 0.0093227916875075947,0.01102929339808701 0.044118240375869318 0.058585716973886412 0.030734085234311995 -0.0091324875359487211 0.035909595835788358,-0.037941397543238227 -1.4007910846838865 0.31098504688795225 -1.3229208556688097 0.087002964384755868 0.21866827138320133,0.22000735507955979 0.17143942444555163 0.05495584391230967 -0.098706369149725512 -0.16362182792325974 0.029635069824667265,-0.13293057654313015 -1.3358210814296876 0.16591380324588778 -1.4955978891938779 0.054659123091012937 0.017696389734135974,0.24549544477108992 -0.10143990302415126 0.39786163371462457 0.41309712954902966 -0.045906987046835289 0.62343352937595287,39.606477025898158 -59.348270282218685 -16.590492448663525 -1.3353892250528823 1.573258705290316 0.02436095034762685,-0.17550510983858203 -57.124143763663596 -30.421310889909364 -3.6770234485611581 4.9170725245061675 -0.11079770893854146
ur,tetrapga,16.273668546,0.333876771,0.317754842,0.20918786,34.1553,41.561613,4.2694125,1,0,0,1.6789644,0.015126267,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.13553050053621066 -1.3305889572918914 0.16452105972759715 -1.4996562878401041 0.054329722129852737 0.011083737237389086,0.011418712955775455 0.045507110641677589 0.058079944724959066 0.029055959670756869 -0.010394527584679743 0.034860580312409448,-0.028645819834964368 -1.3936414398378141 0.3131543473925123 -1.3271922670224081 0.080091201563324943 0.21982856097711578,0.22156689825299308 0.16819248709509976 0.048093457750306788 -0.1041950961471859 -0.16470162657525228 0.025483835360573578,-0.13216140219916062 -1.3339448719027263 0.16833262740463664 -1.4944901663364565 0.053971821785003135 0.019335288321161395,0.25864204256372658 -0.092481567742079274 0.38939948973677407 0.39211527256684464 -0.065325103178713761 0.61815310442485805,41.99742854911122 -59.419082442066518 -16.909528497831275 -1.4218555141781883 1.6152731782494048 0.023792789486924041,0.069882448621569893 -58.993095557326342 -31.378178949091421 -3.7932555119386961 5.0695911244743002 -0.10758747081652231
ur,tetrapga,16.315332041,0.331761384,0.318455215,0.212779685,34.122146,41.623744,4.26526825,1,0,0,1.687372585,0.018440352,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.13492124868071173 -1.328772383236511 0.16702241885702851 -1.4983536630329077 0.053841723529452254 0.012737304311061706,0.01213846207544789 0.04614085651382227 0.05730859485966798 0.027498481437726686 -0.011573837021694204 0.03409318010036283,-0.019385745062912324 -1.3867036899224434 0.31501583967115998 -1.3316443384911636 0.073210474400940639 0.22080442511525369,0.22291860706514394 0.16481849175491325 0.041258337478309405 -0.10949883953297307 -0.16556419575791478 0.02135874347157133,-0.13136869717380581 -1.3320327756923198 0.17071893051686843 -1.4934548097895113 0.0532313346592432 0.020936231303716697,0.27157853326629505 -0.084268515337636449 0.38017592325448279 0.37088811189635429 -0.084429749748061611 0.61249187345064326,44.420701360835125 -59.492158365624277 -17.230514735536424 -1.5083590161251066 1.6580257581866751 0.023214042433003772,0.14338414952476342 -59.990614617323445 -31.916952741043701 -3.8595339539306224 5.1594921656496666 -0.10522743914547306
ur,tetrapga,16.357036677,0.329942583,0.319356488,0.214313773,34.235854,41.698628,4.27948175,1,0,0,1.697934725,0.021341432,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.134287977911589 -1.3269497423935857 0.16947256261165072 -1.4971232608063549 0.053308723671723506 0.014351633141811993,0.01322286858428744 0.046174461487299465 0.056750457918818505 0.02642486959836457 -0.012637214360493417 0.033961248293299925,-0.010064134698819291 -1.379903149913158 0.31659319283354587 -1.3363193389811681 0.06629125236255469 0.22160885013937764,0.22407910072304971 0.16128437317163175 0.034380255935100586 -0.11467409521179255 -0.16622171642885347 0.017216669121692528,-0.13055311042209858 -1.3301040809668048 0.17305858363262799 -1.4924936550929218 0.052443794292891761 0.02249533388028651,0.28440339007485349 -0.076602740481486256 0.37035463354605047 0.34942252562642973 -0.10327935907394889 0.60642520719027049,46.845557868581807 -59.593249447926631 -17.589979259113143 -1.6003969405946599 1.706264463391042 0.022588594331191779,0.084679780217584266 -60.334732027120481 -32.147066003963801 -3.8916094759024418 5.2030642468355381 -0.10481355513569923
