robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.556652797,0.193448121,0.9968084,1,30.196736,0.068654,1.493563,0.019348,5.814054,0.037008,37.892008,0.030489,38.009578,3.774592,1,0,0,1.508863783,1.332172183,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0081121866647359594 -1.5216307601827068 -0.030291829117757844 -1.5497747642325614 0.01157077922091638 0.0099972252665969461,0.042643880224015128 -0.73717667448859459 -0.020526215732772538 0.029463088080442373 0.0172585246098809 0.011880730292616408,0.05505700526581693 -1.4944463172214661 0.10406823607885377 -1.4688530259309873 0.087464284882485616 0.074173438929154692,0.17805909371640033 0.19198003350164924 0.22450662308256358 0.19277357477286955 0.14298240600200518 0.10903842479065311,0.011381850582772846 -1.5267775145071112 -0.02894642830800007 -1.5466656571649975 0.014477702658084774 0.012316566379892568,0.40870798975461076 -0.64334429055055498 0.16817510121972196 0.38863838344548285 0.36336542964604923 0.28991763916195273,-9.7228793849160091 197.62742939664389 99.809169710242344 7.9372788623562904 -1.2594467083524914 0.039094498765903325,-47.318481621170612 330 140.58446146763796 10.258706099010851 -2.1784980269491889 -0.027277388214603349
ur,tetrapga,0.594728537,0.208999081,0.347356988,0.925140922,30.120641,0.068777,1.553815,0.019685,5.860075,0.032438,37.877351,0.02853,37.990025,3.765080125,1,0,0,0.769883388,0.828382433,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0099804858940483795 -1.5290761417987957 -0.03119765710611359 -1.5484782329422364 0.01276552679025366 0.010892129864231352,0.033388045308125926 0.26307038674931921 0.0075835216115860034 0.031896584709762421 0.029201515655659947 0.022379229669114285,0.062023592217532307 -1.4870233335049143 0.11267093506349173 -1.4615328719793492 0.092831551747740867 0.078237926157657886,0.18783156667421202 0.19786912819421668 0.22728841957464335 0.19165503151745047 0.13887949911839678 0.10441951397026028,0.012453786912860887 -1.5280510637615485 -0.02746050152462888 -1.5450878952652116 0.015702320846607741 0.013246006896355928,0.30916262735156352 0.12813475465590091 0.46714444768558894 0.42379220962810488 0.36709925704425983 0.29423462901557212,11.720647602343956 39.050609000813807 47.859032456010517 4.6261819937839483 -0.62282011500110879 0.04200843990135554,-45.733453178813534 305.29650413600666 136.32387382961153 9.9251696923147392 -2.1499652865925611 -0.059965020787441148
ur,tetrapga,0.632781124,0.221243941,0.3876252,0.066662588,28.522846,0.068523,1.301573,0.019521,5.459695,0.036814,35.653024,0.038568,35.777854,3.56535575,1,0,0,0.718599177,0.137696846,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.010015030866063507 -1.5169622448953339 -0.030420533879390449 -1.547706699519444 0.013088443367210302 0.01119090319893158,-0.0062842977717221579 0.32137267365139965 0.03039774003757597 0.018006711176011443 0.0050552055418646227 0.0054805752756627198,0.069352763271644871 -1.4793874065351611 0.12136529984622745 -1.4542684125546428 0.098032234519040432 0.082120065687054156,0.19733638769739809 0.20340776769089222 0.22959861029328005 0.19008062534944281 0.13439983904631425 0.09958551898570793,0.012593259126087782 -1.5155477765976126 -0.026349343193117585 -1.5441716582300191 0.016096564401917118 0.01358690121524701,0.32227853250303429 0.17680853721517442 0.50889883578410799 0.44188016117810397 0.37601512933835196 0.29949975203942863,16.44265159072016 24.681354288342465 43.829020280865841 4.3527738488757528 -0.52758009297972941 0.0447084756075177,2.348324869355956 -21.998654162743151 -7.7635280027366207 -0.72510597417567624 0.10906710342158732 -0.017254346038932056
ur,tetrapga,0.668658536,0.232111363,0.391643216,0.260836764,28.536022,0.070802,1.45603,0.017942,5.550353,0.035851,35.92259,0.035259,36.045335,3.56700275,1,0,0,0.814655349,0.073010427,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.009482237457662461 -1.5115992228694013 -0.026560822003931731 -1.5471022824838139 0.013377807770700707 0.011505422146137763,-0.0041788847300766267 0.03079416156575257 0.074959450710321493 0.012173472336621355 0.0083869791290864457 0.0082500136618505436,0.076589661801127529 -1.4720008779563847 0.12963524478499111 -1.4474817038904229 0.10277326318237609 0.085608262119193021,0.20604541057424389 0.2083036520636522 0.23134195230883614 0.18817984813715272 0.1298362191924731 0.094834571709780074,0.015629699390962846 -1.5141607043123329 -0.021631710106070991 -1.5405959869049661 0.019097792120648032 0.0159764547168538,0.37955503310938299 0.17338403565997754 0.58970413588082415 0.44695891563163576 0.37515346484136425 0.29869418770084888,-1.0900737414083741 28.948700239779786 18.31191537115134 1.3653672341075318 -0.24714973583562586 0.0034740307345729406,10.970532842594586 -86.076132031223096 -36.292806145693959 -2.8643312401800358 0.5485685952368371 -0.028363102104229654
ur,tetrapga,0.70483508,0.245588012,0.463747822,0.111288331,28.517405,0.068716,1.401719,0.019874,5.459931,0.040523,35.747533,0.042983,35.875195,3.564675625,1,0,0,0.977416071,0.126013554,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0098600329627278865 -1.5128132979072051 -0.025076808033679929 -1.5464492569193329 0.013940312665621304 0.011964811866102015,0.017397532862319879 -0.075523657759198934 0.016106260780519691 0.017087756679845328 0.016723819192017781 0.013014253587217407,0.084198615021717063 -1.4643808099043749 0.13802970652797245 -1.4407148091365232 0.10738212137323815 0.088949620199251123,0.2145667707572872 0.21291196453088809 0.23266874297812912 0.18585624470836629 0.12490790585345529 0.089860323223093355,0.018743778490729803 -1.5126519565654613 -0.016774200325912869 -1.5370124395812022 0.022073383999453924 0.018348864614768839,0.38925988747086981 0.18859346835894936 0.60718872251976541 0.4479434154704886 0.37194898485073635 0.29655123723937976,-3.6921873401370306 26.725725998435493 13.181903946076751 0.93741420567884182 -0.18437506870067788 0.0013437990325996809,4.1347182458689886 -36.725149353215784 -14.913314151915728 -1.2893715925056313 0.19282668196088792 -0.041337806660241228
ur,tetrapga,0.740776351,0.260549744,0.456046251,0.032889764,34.177303,0.069004,1.387041,0.022516,5.460584,0.035684,41.433792,0.042503,41.563477,4.272162875,1,0,0,1.105808533,0.023430913,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.010786158453080777 -1.5145799337631276 -0.025783913652426139 -1.5458132104175868 0.014581190227340821 0.012441216391953485,0.022473965805952296 -0.027538135618926277 -0.019095676600065271 0.015831396862606609 0.015697418601420574 0.011630261265317354,0.092058521035844484 -1.4566511995024536 0.14640933866503653 -1.4340824125182901 0.11177871937501099 0.092087853160099792,0.22276232352678904 0.21715648240222091 0.23355511058218256 0.18314580411144382 0.11969468450917428 0.084742080978392809,0.018150821643052123 -1.5131764779876729 -0.017120435916967165 -1.5377188536803725 0.021398143118734024 0.017811196376273306,0.4232316463933542 0.054933397077710736 0.51982763402529231 0.46174641487772233 0.38385700066708156 0.3020194841140178,3.2497399150835822 62.026904910896292 42.973963403148851 3.6684716807192146 -0.5387777168810437 0.024571370728637416,-2.0565270807007821 8.5629023251831313 4.9334646425989916 0.22000400097658712 -0.11330995988462433 -0.035377789712818242
ur,tetrapga,0.782419741,0.275857125,0.398974205,0.01837355,34.037149,0.069588,1.555521,0.017276,5.499049,0.03479,41.470021,0.043187,41.599773,4.254643625,1,0,0,1.279262543,0.013356214,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.01237237652382865 -1.5151316617843609 -0.025111592227616105 -1.5442725349120083 0.015951721071361911 0.013503272671980822,0.035800764384411266 0.0016988009434315725 0.027669843106682825 0.037014733161907731 0.032090147271359802 0.025110115802488186,0.10152682939235118 -1.4475129200673664 0.15614749542772927 -1.4265294896894365 0.11663085449649352 0.095489695035483685,0.23190625730538833 0.22164927177624472 0.23404053691121032 0.17950871421978296 0.11327027879001503 0.078600586228853964,0.01902640385026692 -1.5140599200381961 -0.017013706864676265 -1.5371786414552213 0.021802732731579868 0.018097492483089381,0.47060059585331693 0.011768730977581774 0.51278840095192124 0.4771316051211496 0.39097507956648747 0.30503224487028979,2.0138357853511382 79.530709415360491 51.260518507058471 4.2716542431333799 -0.65329083356374107 0.025157142664473144,-1.5391476178361785 4.2133154973162164 2.7560324905148263 -0.071639948110714613 -0.13204191416814126 -0.077180594770329236
ur,tetrapga,0.824089542,0.28904387,0.362203831,0.006076879,28.498435,0.068964,1.400236,0.018076,5.498176,0.038624,35.779997,0.041484,35.908875,3.562304375,1,0,0,1.501476096,0.071194337,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.014505328722992683 -1.5146597991822264 -0.022740176368172115 -1.541938581705141 0.017933248775658741 0.015066731922777249,0.044208772599775729 0.023507841071926459 0.059545614205521069 0.050269495543865603 0.041993264624377379 0.03332489375760312,0.11137413432867961 -1.4381912522061486 0.16589988992859495 -1.4191343985581586 0.12120990568917037 0.098633141202045346,0.24066170101902951 0.22567859084135661 0.23394149694558272 0.17534153023856527 0.10644221872005175 0.072238189482448756,0.018636628577948407 -1.5148812233502915 -0.018927873879630495 -1.5379391814335543 0.021145285513067862 0.017528588077029655,0.51641248186946576 -0.027678021008156618 0.47653781106770271 0.49992503394833332 0.40150459217614026 0.30773201928155069,11.807230979448187 99.867223173658573 73.484758257866375 6.3584054952646953 -0.87688129423870209 0.046336291469621524,-0.9019143959525735 -0.97630799305079563 0.28012206048627064 -0.34030521198383212 -0.12486881232929647 -0.10274189223483887
ur,tetrapga,0.860088054,0.301554106,0.391608463,0.025254714,28.56263,0.068175,1.264239,0.019447,5.451619,0.031989,35.688823,0.033473,35.808434,3.57032875,1,0,0,1.591959015,0.021304784,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.015556152051688957 -1.5138067356597458 -0.020955296924245567 -1.5406951017218702 0.018932487610985295 0.015863216634738275,0.02552231175169407 0.02519028304048743 0.04655587882838285 0.031078941477019614 0.024750928078485276 0.019779614362578527,0.12016873244442677 -1.4300103192608791 0.17431270615441852 -1.4128935563016485 0.12493075081335747 0.1011321307244364,0.24789530264544468 0.22877682112684539 0.23338341513381511 0.17132188866015924 0.10023285057642356 0.066575230421632603,0.019909454167210086 -1.5140022901690857 -0.017109542417181097 -1.5366225279800312 0.022156953075722862 0.018318063239505633,0.54416276444014133 -0.024444313667493191 0.48071931338305879 0.50907171772988613 0.40305818309219604 0.30685582559591978,13.581420504641557 104.36227448555688 76.983371073575867 6.6452719894805039 -0.9044159050954419 0.048878930544724031,0.16692161210193035 -8.3340555797276465 -2.8050901419022125 -0.45918539484409848 -0.021547249334979313 -0.061173872694325837
ur,tetrapga,0.895975413,0.314453179,0.407381521,0.0343935,28.642647,0.073044,1.285969,0.019571,5.491118,0.039626,35.848816,0.033491,35.971671,3.580330875,1,0,0,1.723307539,0.020771225,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.016501977007553195 -1.5130815664018771 -0.019440793373433726 -1.5396274016874907 0.019767544101707859 0.016523801331033823,0.023988714582423878 0.015244886162997486 0.035806101792172688 0.025978466580011864 0.020282176641800077 0.015979704888490223,0.12918973321799082 -1.4217500619483341 0.18267170562066587 -1.4068228890682435 0.12841262102791617 0.10341784267078423,0.25479110954820072 0.23150658013619613 0.23239034004160744 0.16693290206723982 0.093766404599784442 0.060783618411367459,0.024821724082146855 -1.5138971453558874 -0.01246792297668629 -1.5325017675104815 0.025354364372840273 0.020758105147263145,0.61403373936709593 0.013143101649797779 0.58020243006185079 0.5150950586937183 0.39967641213967658 0.30500523846968886,-10.384595395515714 101.30581365418823 49.337859203149101 3.6756072918766818 -0.70864802497272383 0.0060130593364451056,0.57566094840112214 -11.349855013203523 -4.0787137920541028 -0.52796699589907803 0.01326564225596627 -0.049544574798240149
ur,tetrapga,0.93202561,0.328660819,0.438984994,0.037489302,34.042352,0.069561,1.413047,0.017626,5.492014,0.040436,41.338859,0.030087,41.455242,4.255294,1,0,0,1.865300353,0.001203829,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.017078080650390282 -1.5127039049650703 -0.018794964014625701 -1.539065302514202 0.020184732950520312 0.016842091389273391,0.013966482277614873 0.005117586572825762 0.010807792332720749 0.012579203828247182 0.009344826666968507 0.0069715181958335789,0.13849496858006793 -1.4133602628935611 0.19102484844780682 -1.400890080614005 0.13167180110284904 0.10550212920163911,0.26139114320398454 0.23388283947831448 0.23095365175511459 0.16214599032279065 0.087003262095463912 0.054826149197450436,0.025849773200685523 -1.513208446871634 -0.011247287508579312 -1.5316143509827582 0.025980457524528031 0.021230745968174345,0.61248385430211982 0.011509786105624181 0.54801949838458519 0.52114800369795233 0.4013636078559672 0.30383096248825969,1.2467665917658337 106.14776727456774 63.798052481969407 5.2104771520493536 -0.81028164612828157 0.028070276739616984,0.76503203775978079 -12.371469617188268 -4.3668081226626256 -0.47185539004294696 0.053392701528771624 -0.021748719936852012
ur,tetrapga,0.973553329,0.345015668,0.432602322,0.019509599,34.041634,0.069605,1.522128,0.018284,5.456,0.032739,41.419921,0.031328,41.539248,4.25520425,1,0,0,2.062411759,0.01152225,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.017920285233520784 -1.5126598743923156 -0.018160441413060249 -1.5383117526854484 0.020769465040795004 0.017283524875294762,0.020069444519133412 0.00096140626961092846 0.015907425017379191 0.017792986991075684 0.013866553070529553 0.010504430233792097,0.1495006892070942 -1.403598651475239 0.20057216676652553 -1.3942789103935567 0.13511763013831976 0.10763362973052953,0.26857517847854406 0.23615956220300804 0.22875384578121286 0.15617041793177536 0.078894486476205783 0.04779989918988195,0.027060564244976246 -1.5128566419188234 -0.010283318378075151 -1.5307215879780143 0.026590354535320875 0.021674077492937247,0.64694187848413676 0.0096898391439382038 0.55256826034307904 0.53018298201114356 0.40192415658241987 0.30211775890033676,2.0381589977230856 112.65681379484477 67.905477747345714 5.5104131049366174 -0.85754641540706333 0.028909456137646589,-0.08638424214464635 -6.4381676534721919 -1.8760602028357098 -0.31631368007037963 0.00055457226074651089 -0.032454039883312191
