model,dof,seed,sample_id,d_safe,obstacle_count,success,failed,cost,stop,iter,solve_ms,initial_min_distance,final_min_distance,trajectory_min_distance,safety_violation_count,collision_violation_count,placement_error_norm,path_length,jerk_rms,torque_rate_rms,failure_message
ur10,6,2099586999,4,0.1,8,0,0,847.038761869,0.278993947,80,88.168238,0.036749044,-0.070387168,-0.070387168,178,32,0.903458458,3.234055776,10794.483071032,9712.716288323,""
ur10,6,2099587517,0,0.1,16,0,0,2682.322998389,0.648756449,80,93.049986,0.015326761,0.028656666,-0.105757316,210,66,0.496860113,3.223074119,46971.781452608,8012.330397989,""
ur10,6,2099587516,1,0.1,16,1,0,2055.457394568,0.000000817,64,62.312253,-0.077990625,-0.134972864,-0.134972864,371,118,0.41890084,2.958120939,7322.841648502,11576.282406736,""
ur10,6,2099587519,2,0.1,16,0,0,1874.175896672,0.379497861,80,94.103073,-0.05606056,-0.011973557,-0.071974779,417,121,1.172668002,3.263289379,18771.086850123,8255.740014531,""
ur10,6,2099587518,3,0.1,16,0,0,2047.738162881,0.118739426,80,94.542267,-0.067546421,-0.172107146,-0.172107146,526,231,0.716108006,3.14168617,17362.383044094,7414.972209378,""
ur10,6,2099587513,4,0.1,16,1,0,1865.294175545,0.000000651,62,65.999897,-0.119001913,-0.054733523,-0.130267883,280,70,0.478892878,3.120971861,15396.04079976,12071.592669263,""
ur10,6,2099586700,0,0.15,4,0,0,155.398359846,0.060987322,80,79.426879,-0.070158507,0.158488404,-0.082693737,133,21,0.227573446,2.457139666,63622.679569124,6917.367675938,""
ur10,6,2099586703,1,0.15,4,0,0,410.548045488,0.001946097,80,81.339726,0.044668864,-0.015524569,-0.027182751,251,56,0.375138852,2.995739596,65889.178665286,7451.081711396,""
ur10,6,2099586702,2,0.15,4,0,0,407.743277872,0.000817683,80,83.636831,0.232593805,0.101215962,0.0333931,55,0,0.262201945,2.839017239,106316.116099741,4135.512294732,""
ur10,6,2099586737,3,0.15,4,0,0,236.538448782,0.044207666,80,81.437129,0.034071589,0.0951032,-0.059497167,161,33,0.486001749,2.974164462,38834.063007565,9693.923259136,""
ur10,6,2099586736,4,0.15,4,0,0,338.682816674,0.311121682,80,77.64671,0.124558241,0.119238461,0.099551171,133,0,0.31732638,2.637721333,9979.775443768,3830.204393126,""
