model,dof,seed,sample_id,d_safe,obstacle_count,success,failed,cost,stop,iter,solve_ms,initial_min_distance,final_min_distance,trajectory_min_distance,safety_violation_count,collision_violation_count,placement_error_norm,path_length,jerk_rms,torque_rate_rms,failure_message
ur10,6,2099587517,0,0.08,16,0,0,9857.188655755,0.000023804,100,110.190403,0.216337243,-0.026030921,-0.081817612,188,52,0.678937245,4.093258578,23529.05471,12758.273056632,""
ur10,6,2099587516,1,0.08,16,0,0,11092.618281899,0.02055476,100,117.249804,0.22329047,0.00579403,-0.001028045,47,4,0.556811766,3.758468998,74864.386409435,15387.046950111,""
ur10,6,2099587519,2,0.08,16,1,0,8578.604373241,0.00000088,74,84.45676,0.217589968,-0.022079217,-0.046802547,84,27,1.439880423,4.164841985,10062.575879458,9081.051029804,""
ur10,6,2099587518,3,0.08,16,0,0,11099.851802047,0.000027877,100,110.570087,0.248617919,-0.051847643,-0.058445922,128,35,0.620576247,4.000831599,15517.54172738,13411.590819918,""
ur10,6,2099587513,4,0.08,16,0,0,7655.572463636,0.000058001,100,115.170054,0.24088277,-0.036167203,-0.036167203,127,18,0.809130067,3.847293269,54400.375462899,13717.328944211,""
ur10,6,2099586700,0,0.1,4,0,0,2093.897009379,0.656777863,100,97.943741,0.215963427,0.182156416,0.143973381,0,0,0.814288791,2.96308358,30825.207442991,14147.872466771,""
ur10,6,2099586703,1,0.1,4,1,0,2459.555533711,0.000000245,67,66.208906,0.231402081,0.121299635,0.051082225,23,0,0.380589799,3.430177638,14520.097344289,9558.774180577,""
ur10,6,2099586702,2,0.1,4,1,0,2188.859229834,0.000000286,91,95.127948,0.266465276,0.133586403,0.059345305,17,0,0.347267215,3.159372865,26120.616440908,6934.610391792,""
ur10,6,2099586737,3,0.1,4,0,0,1040.546829398,0.086510486,100,98.190967,0.215721883,0.095882368,0.095882368,5,0,0.953919412,3.013323482,17548.457743048,7976.710130524,""
ur10,6,2099586736,4,0.1,4,0,0,2579.558532125,0.048106716,100,93.805614,0.274635803,0.146144351,0.096883141,4,0,0.826216168,3.208963399,38189.168035983,6065.037814574,""
ur10,6,2099586955,0,0.1,8,1,0,3514.287980248,0.000000248,76,79.136121,0.215984826,0.087182285,-0.086740197,100,27,0.513601527,3.671720301,13458.716110131,14844.411187653,""
ur10,6,2099586954,1,0.1,8,1,0,3883.550903749,0.000000806,66,66.489723,0.241249786,0.054767725,-0.040976064,69,9,0.537863948,3.356254349,27355.770642199,13951.12652293,""
ur10,6,2099586997,2,0.1,8,0,0,5420.753709612,0.00005137,100,99.6293,0.260588982,-0.01544859,-0.050239867,78,15,0.561288107,3.900266468,22636.764450953,13129.709507669,""
ur10,6,2099586996,3,0.1,8,0,0,4861.609836701,0.057762605,100,108.384664,0.312571299,0.110202082,0.110202082,0,0,0.527986081,3.490132773,60015.554211774,13624.617395031,""
ur10,6,2099586999,4,0.1,8,0,0,5019.652279448,0.000025901,100,101.341588,0.242389217,0.047397497,0.047397497,50,0,1.02842223,3.563299507,14628.872137439,12899.845184956,""
ur10,6,2099587517,0,0.1,16,0,0,9052.849672,4.751020568,100,118.132966,0.216337243,-0.026623213,-0.081046201,227,53,0.675540611,4.056860615,25298.781729269,14949.01876047,""
ur10,6,2099587516,1,0.1,16,0,0,9559.424384255,0.024747039,100,112.367083,0.22329047,0.037664241,-0.037569043,52,8,0.727149132,4.031366387,47812.771542155,9320.784575575,""
ur10,6,2099587519,2,0.1,16,1,0,7787.013771476,0.000000836,85,87.649688,0.217589968,-0.018236774,-0.04907686,105,25,1.422947517,4.126665084,10081.017909992,8721.40180761,""
ur10,6,2099587518,3,0.1,16,0,0,10217.524930526,0.998905039,100,113.791366,0.248617919,-0.049590237,-0.056694045,142,32,0.605617332,3.948834701,52645.088311913,14600.34148911,""
ur10,6,2099587513,4,0.1,16,0,0,6955.563866202,0.000312977,100,115.770836,0.24088277,-0.036716619,-0.036716619,180,17,0.800156675,3.811412224,67548.604982602,11877.980548485,""
ur10,6,2099586700,0,0.15,4,0,0,1613.110051416,0.000010574,100,95.07833,0.215963427,0.186856406,0.149227359,3,0,0.783294792,2.91856878,28202.419560814,13938.509628268,""
ur10,6,2099586703,1,0.15,4,1,0,2010.844648912,0.000000095,79,79.732805,0.231402081,0.134750975,0.061291059,42,0,0.377945607,3.381962073,11950.291895406,9450.49352294,""
ur10,6,2099586702,2,0.15,4,1,0,1698.424432274,0.000000578,95,97.802637,0.266465276,0.15966196,0.076130857,25,0,0.337624359,3.114930504,24331.602469585,7002.838967926,""
ur10,6,2099586737,3,0.15,4,0,0,750.644395775,1.021472999,100,96.862018,0.215721883,0.100392244,0.100392244,44,0,0.919878379,2.937607677,12428.732350143,7548.666086603,""
ur10,6,2099586736,4,0.15,4,0,0,2063.906645402,0.001087584,100,97.0326,0.274635803,0.157205364,0.123947041,14,0,0.77080713,3.057052196,55143.06594704,5872.396214569,""
ur10,6,2099586955,0,0.15,8,1,0,2791.443364902,0.000000843,85,87.871383,0.215984826,0.085436904,-0.101258166,168,24,0.500742088,3.659027606,21505.031138261,15990.376171061,""
ur10,6,2099586954,1,0.15,8,1,0,3061.109090706,0.000000966,70,70.654248,0.241249786,0.075434909,-0.032746571,103,8,0.523061517,3.328405336,25999.903358849,13084.907212097,""
ur10,6,2099586997,2,0.15,8,1,0,4377.512484413,0.000000817,90,91.477648,0.260588982,-0.016237131,-0.049611469,110,15,0.543421505,3.734399781,23472.486971729,12541.957193979,""
ur10,6,2099586996,3,0.15,8,0,0,3852.488971152,0.229493349,100,108.108084,0.312571299,0.123972768,0.123972768,18,0,0.516610807,3.421935818,45844.709761338,11061.94186942,""
ur10,6,2099586999,4,0.15,8,0,0,4048.246355372,0.148835251,100,103.668319,0.242389217,0.047513353,0.047513353,107,0,1.015359082,3.523438516,11935.533951508,12244.260313,""
ur10,6,2099587517,0,0.15,16,0,0,7238.46815464,0.108634079,100,113.664867,0.216337243,-0.031967336,-0.082832136,351,55,0.667525125,4.007746151,23310.274204877,12223.583162185,""
ur10,6,2099587516,1,0.15,16,0,0,7539.222609545,0.016669001,100,111.419759,0.22329047,0.065469869,-0.036110093,91,8,0.641219023,3.84058961,56797.665861112,8692.522409213,""
ur10,6,2099587519,2,0.15,16,1,0,6020.380648631,0.000000771,75,85.536541,0.217589968,-0.008557046,-0.054779809,166,26,1.394375488,4.037308542,10376.252913145,8142.32340627,""
ur10,6,2099587518,3,0.15,16,0,0,8201.195586604,0.034854351,100,114.922986,0.248617919,-0.035379048,-0.049399328,245,35,0.576032602,3.898677761,43330.881608961,18349.328617748,""
ur10,6,2099587513,4,0.15,16,0,0,5401.062722674,0.023088671,100,113.222207,0.24088277,-0.038362075,-0.038362075,307,15,0.753176996,3.669025389,55977.566379406,11694.267821196,""
